-27,-2,58
-27,-2,58
-27,-2,58
-26,-2,58
-26,-2,58
-25,-2,58
-26,-2,58
-27,-2,58
-28,-2,57
-28,-3,57
-29,-2,57
-28,-2,57
-27,-2,58
-27,-2,58
-28,-2,58
-27,-2,58
-27,-2,57
-27,-2,57
-28,-2,58
-28,-1,57
-28,-1,58
-27,-1,58
-27,-1,58
-28,-1,58
-26,-2,58
-26,-2,57
-27,-2,57
-27,-2,58
-26,-1,59
-26,-1,59
-26,-1,59
-25,-2,59
-24,-2,57
-27,-2,56
-29,-2,55
-32,0,55
-33,0,55
-34,1,56
-34,1,55
-36,1,55
-36,1,55
-35,1,54
-34,0,54
-33,0,54
-33,-1,54
-33,-1,54
-34,1,54
-35,2,55
-35,3,55
-34,2,55
-35,4,55
-50,8,46
-54,2,43
-36,-5,61
-21,-5,64
-26,-5,56
-25,-5,58
-9,-3,72
-22,4,80
-22,-4,56
-8,-16,35
-11,-22,35
-4,-27,56
-5,-24,73
28,-17,84
15,-11,68
-1,-1,64
-12,0,58
-39,-4,50
-23,-17,64
-25,-21,62
-21,-16,57
-18,-12,57
-18,-11,57
-16,-11,59
-14,-10,58
-22,-9,55
-25,-11,62
-18,-10,67
-13,-10,68
-12,-10,62
-14,-9,60
-16,-9,58
-15,-10,55
-22,-12,59
-22,-12,62
-18,-12,59
-20,-11,57
-21,-12,57
-25,-10,58
-25,-8,61
-18,-6,67
-19,-6,64
-20,-8,59
-20,-9,58
-20,-8,59
-24,-9,59
-25,-8,58
-30,-7,55
-32,-6,53
-30,-5,56
-30,-7,64
-18,-9,67
-12,-10,63
-10,-11,58
-12,-10,63
-5,-12,64
5,-9,56
-9,-8,58
-23,-7,70
-23,-8,67
-21,-10,59
-19,-10,58
-21,-9,58
-20,-9,59
-14,-8,58
-33,-4,62
-45,-4,67
-24,-11,63
-17,-12,57
-8,-14,52
-9,-15,52
-12,-13,60
-9,-13,63
-8,-11,61
-15,-9,63
-20,-8,65
-13,-9,59
-14,-8,59
-25,-8,64
-32,-7,61
-32,-7,55
-22,-7,57
-25,-7,57
